"Id","Name","ProductCode","Family"
"01tg5000001lk6rAAA","Threat Monitoring Dashboard (SaaS)","SFD-1","Software"
"01tg5000001lk70AAA","Threat Monitoring Dashboard (SaaS)","SFD-10","Hardware"
"01tg5000001lk71AAA","Cybersecurity Assessment (Services)","SFD-11","Software"
"01tg5000001lk72AAA","Cybersecurity Assessment (Services)","SFD-12","Support"
"01tg5000001lk73AAA","Secure Evidence Vault (SaaS)","SFD-13","Services"
"01tg5000001lk74AAA","Secure Evidence Vault (SaaS)","SFD-14","Software"
"01tg5000001lk75AAA","Access Control & Biometrics Suite","SFD-15","Support"
"01tg5000001lk76AAA","Secure Evidence Vault (SaaS)","SFD-16","Services"
"01tg5000001lk77AAA","Field Deployment & Installation","SFD-17","Software"
"01tg5000001lk78AAA","Secure Evidence Vault (SaaS)","SFD-18","Software"
"01tg5000001lk79AAA","Annual Maintenance & Support","SFD-19","Support"
"01tg5000001lk6sAAA","Coastal Radar Surveillance System","SFD-2","Software"
"01tg5000001lk7AAAQ","Field Deployment & Installation","SFD-20","Software"
"01tg5000001lk7BAAQ","Secure Radio Communications Kit","SFD-21","Services"
"01tg5000001lk7CAAQ","Mobile Command Center Kit","SFD-22","Services"
"01tg5000001lk7DAAQ","Training & Certification Package","SFD-23","Software"
"01tg5000001lk7EAAQ","24/7 SOC Monitoring Service","SFD-24","Services"
"01tg5000001lk7FAAQ","Cybersecurity Assessment (Services)","SFD-25","Hardware"
"01tg5000001lk7GAAQ","Secure Network Hardening Package","SFD-26","Hardware"
"01tg5000001lk7HAAQ","24/7 SOC Monitoring Service","SFD-27","Hardware"
"01tg5000001lk7IAAQ","Mobile Command Center Kit","SFD-28","Services"
"01tg5000001lk7JAAQ","Incident Command Platform (SaaS)","SFD-29","Software"
"01tg5000001lk6tAAA","Cybersecurity Assessment (Services)","SFD-3","Services"
"01tg5000001lk7KAAQ","Field Deployment & Installation","SFD-30","Support"
"01tg5000001lk6uAAA","24/7 SOC Monitoring Service","SFD-4","Services"
"01tg5000001lk6vAAA","Secure Radio Communications Kit","SFD-5","Software"
"01tg5000001lk6wAAA","Secure Network Hardening Package","SFD-6","Software"
"01tg5000001lk6xAAA","Threat Monitoring Dashboard (SaaS)","SFD-7","Services"
"01tg5000001lk6yAAA","Training & Certification Package","SFD-8","Software"
"01tg5000001lk6zAAA","Secure Evidence Vault (SaaS)","SFD-9","Support"
